Open time	Open	High	Low	Close	Volume
2025-02-09 04:00:00	0.6988	0.703	0.6962	0.699	18172095.0
2025-02-09 05:00:00	0.6991	0.7011	0.6958	0.6999	10132017.0
2025-02-09 06:00:00	0.6998	0.7034	0.6972	0.7004	9572517.0
2025-02-09 07:00:00	0.7004	0.7029	0.6947	0.6979	10713726.0
2025-02-09 08:00:00	0.6979	0.7057	0.6976	0.7001	10179899.0
2025-02-09 09:00:00	0.7001	0.701	0.6954	0.6983	11863819.0
2025-02-09 10:00:00	0.6983	0.7076	0.697	0.7045	15241262.0
2025-02-09 11:00:00	0.7044	0.7051	0.6979	0.698	11206363.0
2025-02-09 12:00:00	0.698	0.7155	0.6962	0.7121	27310917.0
2025-02-09 13:00:00	0.7121	0.7126	0.7042	0.7094	14865275.0
2025-02-09 14:00:00	0.7094	0.7099	0.7028	0.7043	11089162.0
2025-02-09 15:00:00	0.7044	0.7048	0.6983	0.704	15413786.0
2025-02-09 16:00:00	0.704	0.7065	0.701	0.7041	11230706.0
2025-02-09 17:00:00	0.7041	0.7073	0.7018	0.7045	15134699.0
2025-02-09 18:00:00	0.7045	0.705	0.6971	0.7	16433009.0
2025-02-09 19:00:00	0.7	0.7035	0.6977	0.7002	10774075.0
2025-02-09 20:00:00	0.7003	0.7021	0.6958	0.697	13513283.0
2025-02-09 21:00:00	0.697	0.7	0.6914	0.6953	20623438.0
2025-02-09 22:00:00	0.6954	0.6958	0.6764	0.68	50556562.0
2025-02-09 23:00:00	0.68	0.6882	0.6784	0.6839	26130937.0
2025-02-10 00:00:00	0.6839	0.6941	0.6835	0.6935	23021149.0
2025-02-10 01:00:00	0.6936	0.6983	0.691	0.6954	15241687.0
2025-02-10 02:00:00	0.6954	0.6977	0.6869	0.6877	17437329.0
2025-02-10 03:00:00	0.6878	0.6906	0.6851	0.6881	10548330.0
2025-02-10 04:00:00	0.6882	0.6894	0.6779	0.6813	19599983.0
2025-02-10 05:00:00	0.6812	0.6885	0.6801	0.6827	18445341.0
2025-02-10 06:00:00	0.6827	0.6831	0.6501	0.6558	85531014.0
2025-02-10 07:00:00	0.6557	0.6785	0.65	0.6679	56623408.0
2025-02-10 08:00:00	0.668	0.6845	0.665	0.681	26446845.0
2025-02-10 09:00:00	0.681	0.6971	0.6801	0.6928	36512388.0
2025-02-10 10:00:00	0.6928	0.6935	0.6649	0.6685	37682458.0
2025-02-10 11:00:00	0.6686	0.6731	0.6626	0.668	30288272.0
2025-02-10 12:00:00	0.6681	0.6969	0.6644	0.6871	51339411.0
2025-02-10 13:00:00	0.6871	0.6948	0.6833	0.6889	17032623.0
